Itaxon_id	taxon_name	taxon_rank	taxon_clade	phylum	subphylum	class	subclass	order	suborder	superfamily	family	taxon_subfamily	tribe	taxon_genus	taxon_subgenus	pbdb_taxon_no	max_length	max_area	max_vol	extinct_max_length	extinct_max_area	extinct_max_vol	fad_int	lad_int	fad_age	lad_age	range_source	range_year	in_sepkoski	tiering	motility	feeding	ecospace	diet	calc_max_vol	extinct_calc_max_vol	extant	eco_ref	marine	brackish	freshwater	terrestrial
50058	Porphyrocrinus	genus	Ambulacralia	Echinodermata		Crinoidea		Bourgueticrinida						Porphyrocrinus		32597	3.773333333	11.1825	2.9075	3.773333333	11.1825	2.9075	Tortonian	Holocene	11.62	0	Sepkoski	2002	t	2	4	1	241		17.1951771	17.1951771	t		t		f	f
165964	Hathrometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Bathymetrinae		Hathrometra			3.838	11.5691	24.9276	3.838	11.5691	24.9276	Holocene	Holocene	0.0117	0	Treatise	2011	f						18.09129083	18.09129083	t		t		f	f
166037	Pentametrocrinus	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Pentametrocrinidae			Pentametrocrinus			3.926666667	11.1949	27.0917	3.926666667	11.1949	27.0917	Holocene	Holocene	0.0117	0	Treatise	2011	f						19.36974657	19.36974657	t		t		f	f
165962	Fariometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Bathymetrinae		Fariometra			3.944285714	12.2187	25.415	3.944285714	12.2187	25.415	Holocene	Holocene	0.0117	0	Treatise	2011	f						19.63074483	19.63074483	t		t		f	f
165375	Oligometra	genus		Echinodermata		Crinoidea				Mariametroidea	Colobometridae			Oligometra			4.01	8.5271	15.3915	4.01	8.5271	15.3915	Holocene	Holocene	0.0117	0	Treatise	1978	f						20.6248318	20.6248318	t		t		f	f
165976	Thaumatometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Bathymetrinae		Thaumatometra			4.0875	11.4287	27.1242	4.0875	11.4287	27.1242	Holocene	Holocene	0.0117	0	Treatise	2011	f						21.83958718	21.83958718	t		t		f	f
166027	Hybometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae			Hybometra			4.124	13.228	36.0154	4.124	13.228	36.0154	Holocene	Holocene	0.0117	0	Treatise	2011	f						22.42782088	22.42782088	t		t		f	f
165399	Catoptometra	genus		Echinodermata		Crinoidea				Mariametroidea	Zygometridae			Catoptometra			4.183333333	8.0771	13.2374	4.183333333	8.0771	13.2374	Holocene	Holocene	0.0117	0	Treatise	1978	f						23.40637824	23.40637824	t		t		f	f
165958	Bathymetra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Bathymetrinae		Bathymetra			4.252	14.1996	33.6815	4.252	14.1996	33.6815	Holocene	Holocene	0.0117	0	Treatise	2011	f						24.57385455	24.57385455	t		t		f	f
165869	Chlorometra	genus		Echinodermata		Crinoidea		Comatulida		Tropiometroidea	Charitometridae			Chlorometra			4.3	9.4562	17.6516	4.3	9.4562	17.6516	Holocene	Holocene	0.0117	0	Treatise	2011	f						25.4125561	25.4125561	t		t		f	f
